temp;RH;transport;eggs;larvae;larvaepergram;hatchrate
30;40;1;2,022;1603;793;0,84
30;40;2;2,029;1623;800;0,85
30;40;2;2,011;1463;727;0,77
30;40;2;2,026;1448;715;0,76
30;40;3;2,091;1065;509;0,56
30;40;3;2,065;1266;613;0,66
30;40;3;2,022;1437;711;0,75
30;40;6;2,004;1182;590;0,62
30;40;6;2,017;948;470;0,5
30;40;6;2,066;1576;763;0,83
25;80;0;2,001;2063;1031;1,23
25;80;0;2,012;1297;644;0,78
25;80;0;2,026;1658;819;0,99
25;80;1;2,046;1972;964;1,18
25;80;1;2,022;1979;979;1,18
25;80;1;2,014;1811;899;1,08
25;80;2;2,063;1992;965;1,19
25;80;2;2,008;1711;852;1,02
25;80;2;2,006;2205;1099;1,32
25;80;3;2,022;1559;771;0,93
25;80;3;2,02;2197;1088;1,31
25;80;3;2,011;2000;995;1,2
25;80;6;2,01;1985;988;1,19
25;80;6;2,006;1881;938;1,12
25;80;6;2,052;1784;869;1,07
25;60;0;2,023;2264;1119;1,05
25;60;0;2,053;2178;1061;1,01
25;60;0;2,007;2041;1017;0,94
25;60;1;2,034;1908;938;0,88
25;60;1;2,009;2361;1175;1,09
25;60;2;2,055;2361;1149;1,09
25;60;2;2,01;1858;924;0,86
25;60;2;2,027;2011;992;0,93
25;60;3;2,007;2189;1090;1,01
25;60;3;2,028;2120;1046;0,98
25;60;3;2,022;2026;1002;0,94
25;60;6;2,014;1929;958;0,89
25;60;6;2,01;1972;981;0,91
25;60;6;2,028;2334;1151;1,08
20;60;0;2,019;2172;1076;0,89
20;60;0;2,047;2855;1395;1,16
20;60;0;2,009;2334;1162;0,95
20;60;1;2,035;2418;1188;0,99
20;60;1;2,065;2618;1268;1,07
20;60;1;2,021;2423;1199;0,99
20;60;2;2,099;2512;1197;1,02
20;60;2;2,025;2509;1239;1,02
20;60;2;2,016;2137;1060;0,87
20;60;3;2,01;2726;1356;1,11
20;60;3;2,072;2704;1305;1,1
