Massa_mg
4,04
4,6
4,21
1,36
4,78
4,74
3,9
4,4
3,79
4,35
1,81
4,38
4,53
4,24
1,34
3,85
4,63
3,6
3,71
4,98
3,78
4,26
4,84
4,22
4,29
3,95
1,96
4,06
3,45
4,68
3,77
3,28
3,92
4,1
3,49
3,81
3,51
3,13
4,71
3,58
4,36
4,92
2,78
4,96
3,91
4,16
4,54
4,95
4,53
3,15
4,98
2,02
4,44
3,94
4,9
4,34
4,76
3,76
4,13
4,85
4,55
4,55
3,71
3,98
7,39
8,34
8,55
9,84
8,4
9,43
8,7
9,05
5,16
8,67
8,17
6,84
7,51
7,63
9,11
7,7
7,23
9,76
9,93
9,85
7,72
7,07
8,09
8,09
8,44
9,37
9,64
7,9
7,09
8,55
9,11
7,53
5,31
8,42
7,67
5,77
7,76
8,22
5,16
8,69
9,86
8,8
9,33
7,1
9,8
8,81
7,61
9
9,89
8,86
9,02
9,14
9,79
9,03
9,26
9,51
5,12
7,91
9,57
8,25
8,17
5,51
7,77
7,3
7,7
5,05
7,18
7,33
6,49
9,16
8,03
6,63
8,02
7,05
6,19
7,72
7,75
5,62
6,76
6,9
5,6
6,51
5,16
6,05
5,45
5,26
5,32
5,26
6,4
6,15
5,38
5,12
10,15
10,76
13,77
10,31
11,63
14,74
11,9
10,11
13,85
13,28
10,74
11,39
11,63
11,27
10,98
10,25
11,43
12,8
11,05
13,78
10,32
11,43
10,65
11,13
11,53
10,38
10,85
11,16
10,4
12,1
11,15
18,37
17,11
19,1
19,36
18,72
15,58
15,15
15,14
20,01
22,64
23,47
23,97
21,38
26,08
20,04
23,85
22,93
20,73
21,16
20,94
20,05
32,86
